"","","","","","","ROIs","Response Curves"
"Contribution Group","Type","Adjustment","Adjustment (%)","Colour","Due To (%)","",""
"Amazon Display","Generic","none","","main_green","2.91045","",""
"Amazon Display + Amazon Search + Amazon Video","Generic","none","","main_orange","0","",""
"Amazon Search","Generic","none","","main_yellow","1.26343","",""
"Amazon Video","Generic","none","","main_purple","0.61252","",""
"Climate","Generic","none","","main_green","0","",""
"Covid","Generic","none","","main_orange","0","",""
"Digital","Generic","none","","main_yellow","0","",""
"Display","Generic","none","","main_purple","0","",""
"Economic","Generic","none","","main_blue","0","",""
"Food Inflation","Generic","min","","dark_blue","153.39188","",""
"Holidays","Generic","none","","dark_green","0","",""
"Launches","Generic","none","","light_orange","1.73635","",""
"Market","Generic","none","","dark_orange","0","",""
"National Media","Generic","none","","light_purple","4.19263","",""
"OOH","Generic","none","","dark_yellow","0","",""
"Press","Generic","none","","dark_purple","0","",""
"Price","Generic","max","","dark_blue","-145.56364","",""
"Promotion","Generic","none","","light_green","8.7416","",""
"Radio","Generic","none","","light_orange","0","",""
"Seasonality","Generic","min","","light_yellow","90.43142","",""
"TV","Generic","none","","light_purple","0","",""
"Video","Generic","none","","light_blue","0","",""
"Others","Generic","none","","black","-17.71662","",""
