"","","","","","","","","","","Coefficient","","","","","","","Shrinkage",""
"#","Variable Name","Vars In Coeff","Vars In STD","Vars In VIF","Fixed","Type","Model Transform","Issues","Group","Prior","Prior Coeff","STD","Lower","Upper","IQR","By","","Centered"
"-1","Intercept","1.020614028","6.4936385155","0","false","","NONE","","","_None_","1.020614028","0.510307014","","","","","",""
"1","NV_Amazon Launches Q12024_3mdvs","6.7521204948","68.5818481445","9.6859016418","false","","SUB","","","TruncatedNormal","0.8000000119","1","0","1","0.4822026668","","",""
"2","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_FETCH TOTAL_SALE VALUE","-1.5e-8","3.23e-7","7.0373206139","false","","DIVMDV|SUB","","","TruncatedNormal","1.6e-9","1.56e-8","8e-10","2.4e-9","8e-10","","",""
"3","AMAZON_KPI_GMI_NATURE VALLEY GRAIN_REGULAR_PRICE","-1.8386461735","4.6108112335","5.7586865425","false","","STA","","","TruncatedNormal","-0.9782502055","1.956500411","-1.5","-0.5","0.495933944","","",""
"4","TOTALUS_EXT_HOLIDAY_NEW_YEARS_DAY_NAT","0.0831610411","0.5180311203","2.0149080753","false","","SUB","","","Normal","0.107777521","0.215555042","","","0.2907793329","","",""
"5","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT|Lag(-1)","-0.0439081602","0.4595903456","1.5859349966","false","","SUB","","","Normal","-0.0440622307","0.0881244615","","","0.118878092","","",""
"6","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT","-0.0878796279","0.5232714415","2.0558793545","false","","SUB","","","Normal","-0.1554397792","0.3108795583","","","0.4193701513","","",""
"7","TOTALUS_EXT_HOLIDAY_COLUMBUS_DAY_NAT","0.0661867633","0.4147438705","1.2915271521","false","","SUB","","","Normal","0.0470360667","0.0940721333","","","0.1269013794","","",""
"8","TOTALUS_EXT_HOLIDAY_EASTER_NAT","0.0138586657","0.3988271356","1.1942988634","false","","SUB","","","Normal","-0.0480414778","0.0960829556","","","0.1296139374","","",""
"9","TOTALUS_EXT_HOLIDAY_INDEPENDENCE_DAY_NAT","-0.0183727536","0.4146384597","1.2908706665","false","","SUB","","","Normal","-0.071275875","0.1425517499","","","0.1922993884","","",""
"10","TOTALUS_EXT_HOLIDAY_JUNETEENTH_NAT","-0.0016192064","0.4046311677","1.2293124199","false","","SUB","","","Normal","-0.0383321047","0.0766642094","","","0.1034184468","","",""
"11","TOTALUS_EXT_HOLIDAY_MLK_DAY_NAT","0.0062906751","0.4074847698","1.2467125654","false","","SUB","","","Normal","-0.0417514779","0.0835029557","","","0.1126437755","","",""
"12","TOTALUS_EXT_HOLIDAY_PRESIDENTS_DAY_NAT","-0.0013331397","0.3945731819","1.1689574718","false","","SUB","","","Normal","-0.0426419526","0.0852839053","","","0.1150462399","","",""
"13","TOTALUS_EXT_HOLIDAY_SUPER_BOWL_NAT","-0.12779589","0.400485009","1.2042486668","false","","SUB","","","Normal","-0.1082079485","0.216415897","","","0.2919406086","","",""
"14","TOTALUS_EXT_HOLIDAY_THANKSGIVING_DAY_NAT","-0.1696697176","0.6479003429","3.1518099308","false","","SUB","","","Normal","-0.2119256854","0.4238513708","","","0.5717668104","","",""
"15","TOTALUS_EXT_HOLIDAY_VETERANS_DAY_NAT","0.0325806215","0.4193164706","1.3201626539","false","","SUB","","","Normal","0.0723544955","0.1447089911","","","0.1952094624","","",""
"16","TOTALUS_EXT_HOLIDAY_CYBER_MONDAY_NAT|Lag(-1)|Decay(0.3)","0.161420688","0.6930198669","6.423743248","false","","SUB","","","Normal","0.1574759632","0.3149519265","","","0.4248636924","","",""
"17","Amazon Step_Jan 22","-0.1337446272","0.614753902","23.955499649","false","","SUB","","","Normal","-0.0995849296","0.1991698593","","","0.2686760573","","",""
"18","Amazon Step_Jan 23","-0.1767653078","0.4438725114","19.5275764465","false","","SUB","","","Normal","-0.0944249928","0.1888499856","","","0.2547547592","","",""
"19","TOTALFOOD_KPI_COMPETITIVE_BASELINE_SALES_EQUIVALENT_UNIT_1_QTY_WEEKLY_INDEX","0.7545535564","1.6307044029","6.8370308876","false","","STA","","","TruncatedNormal","0.323821187","0.647642374","0.1619099975","1","0.3923753833","","",""
"20","US CPI FoodAtHome NSA 1984=100|CMav(5)|Lag(2)","1.0634795427","6.8689932823","63.0590744019","false","","STA","","","TruncatedNormal","1","2","0.5","1.5","0.496109126","","",""
"21","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL VIDEO_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)|Lag(1)","-0.0397424251","0.9727212787","7.2502412796","false","","SUB","","","TruncatedNormal","0.0308353845","0.0422506519","0.0154200001","0.0462500006","0.0151606764","","",""
