"","","","","","","","","Statistics","","","","","","","","","","",""
"#","Variable Name","Distribution","Vars In Coeff","GT Coeff","Prior Coeff","Mean Coeff","STD","HDI_3%","HDI_97%","MCSE_Mean","MCSE_STD","MCSE_Mean %","ESS_Bulk","ESS_Tail","R_hat","Data Influence","Cohens D","Model Transform","Contribution Group"
"-1","Intercept","_None_","1.020614028","0.1817236043","1.020614028","0.1817236","0.00521466","0.17212794","0.19148442","0.00006491","0.00004618","0.0003571908","6362.58214264","2008.55371274","1.00110492","199.4557056452","0.3949287321","NONE","Worst Case Scenario"
"1","NV_Amazon Launches Q12024_3mdvs","TruncatedNormal","6.7521204948","0.5319664799","0.8000000119","0.53196648","0.2886051","0.07036036","0.99995988","0.00474781","0.00338621","0.0089250172","3210.62053476","1754.42221651","1.00187744","0.9337829442","0.067891773","SUB","Launches"
"2","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_FETCH TOTAL_SALE VALUE","TruncatedNormal","-1.5e-8","1.6e-9","1.6e-9","0","0","0","0","0","0","","3439.88607327","1584.01524097","1.00229135","","","DIVMDV|SUB","National Media"
"3","AMAZON_KPI_GMI_NATURE VALLEY GRAIN_REGULAR_PRICE","TruncatedNormal","-1.8386461735","-1.2198443817","-0.9782502055","-1.21984438","0.18411821","-1.49841786","-0.90203002","0.00366855","0.00259436","0.0030073918","2263.06341139","1645.45912497","1.00004487","1.5295516397","0.990734521","STA","Price"
"4","TOTALUS_EXT_HOLIDAY_NEW_YEARS_DAY_NAT","Normal","0.0831610411","0.0669839184","0.107777521","0.06698392","0.04547849","-0.01408536","0.15291269","0.00096402","0.00068835","0.0143918122","2227.34159878","2362.94218279","1.00127868","5.0230179146","0.2592088571","SUB","Seasonality"
"5","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT|Lag(-1)","Normal","-0.0439081602","-0.0545743505","-0.0440622307","-0.05457435","0.03719585","-0.1242724","0.01591664","0.00067865","0.00053024","0.0124353291","3009.30270035","2075.73958564","0.99995504","2.3356299157","0.146939912","SUB","Seasonality"
"6","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT","Normal","-0.0878796279","-0.0953044364","-0.1554397792","-0.09530444","0.04377333","-0.17889628","-0.01479952","0.0008912","0.00064032","0.0093510858","2419.2869303","2090.64309538","1.0010892","7.3340691695","0.3247468732","SUB","Seasonality"
"7","TOTALUS_EXT_HOLIDAY_COLUMBUS_DAY_NAT","Normal","0.0661867633","0.0837638266","0.0470360667","0.08376383","0.03610754","0.0158479","0.15165515","0.00062748","0.00046255","0.0074910615","3303.94121649","2195.09348216","1.00094654","2.4874297723","0.4481951299","SUB","Seasonality"
"8","TOTALUS_EXT_HOLIDAY_EASTER_NAT","Normal","0.0138586657","0.0159116922","-0.0480414778","0.01591169","0.03542996","-0.05515257","0.07564339","0.00062532","0.00062423","0.0392994082","3229.95852563","2357.76888896","1.00105928","2.6447224327","0.9897169366","SUB","Seasonality"
"9","TOTALUS_EXT_HOLIDAY_INDEPENDENCE_DAY_NAT","Normal","-0.0183727536","-0.0569932339","-0.071275875","-0.05699323","0.03767566","-0.12774929","0.01194271","0.00065579","0.00052157","0.0115064544","3281.37610772","2405.64749403","1.0021578","3.8258496334","0.1577599496","SUB","Seasonality"
"10","TOTALUS_EXT_HOLIDAY_JUNETEENTH_NAT","Normal","-0.0016192064","-0.0230316421","-0.0383321047","-0.02303164","0.03431029","-0.08529069","0.04051293","0.00060633","0.00052917","0.0263259586","3205.24916907","2585.6812839","1.0004883","2.1429273842","0.2431472418","SUB","Seasonality"
"11","TOTALUS_EXT_HOLIDAY_MLK_DAY_NAT","Normal","0.0062906751","-0.0138729269","-0.0417514779","-0.01387293","0.036725","-0.08291388","0.05493864","0.00062769","0.00064721","0.0452456691","3429.452204","1834.73295979","0.99967633","2.2436424779","0.3923295659","SUB","Seasonality"
"12","TOTALUS_EXT_HOLIDAY_PRESIDENTS_DAY_NAT","Normal","-0.0013331397","-0.0062497227","-0.0426419526","-0.00624972","0.03403982","-0.06965138","0.05467453","0.0006097","0.00059047","0.0975563705","3124.3721598","2081.2886721","1.0017552","2.4721155987","0.5788968537","SUB","Seasonality"
