"#","Variable Name","Coefficient","△ Coeff (%)","Fixed","SE","T-Value","VIF","Random Effect","Contribution Group","Model Transform","Normalised","Source File","Indirect"
"-1","Intercept","1.020614028","0","false","0.6055349112","1.6854752302","0","false","Worst Case Scenario","NONE","","","false"
"1","NV_Amazon Launches Q12024_3mdvs","6.7521204948","0","false","6.3952903748","1.0557956696","9.6859016418","false","Launches","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"2","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_FETCH TOTAL_SALE VALUE","-1.5e-8","0","false","3.01e-8","-0.4977422357","7.0373206139","false","National Media","DIVMDV|SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"3","AMAZON_KPI_GMI_NATURE VALLEY GRAIN_REGULAR_PRICE","-1.8386461735","0","false","0.4299603403","-4.2763161659","5.7586865425","false","Price","STA","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"4","TOTALUS_EXT_HOLIDAY_NEW_YEARS_DAY_NAT","0.0831610411","0","false","0.0483066477","1.7215237617","2.0149080753","false","Seasonality","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"5","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT|Lag(-1)","-0.0439081602","0","false","0.0428570211","-1.0245267153","1.5859349966","false","Seasonality","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"6","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT","-0.0878796279","0","false","0.0487953126","-1.8009850979","2.0558793545","false","Seasonality","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"7","TOTALUS_EXT_HOLIDAY_COLUMBUS_DAY_NAT","0.0661867633","0","false","0.0386750661","1.7113549709","1.2915271521","false","Seasonality","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"8","TOTALUS_EXT_HOLIDAY_EASTER_NAT","0.0138586657","0","false","0.037190821","0.3726367056","1.1942988634","false","Seasonality","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"9","TOTALUS_EXT_HOLIDAY_INDEPENDENCE_DAY_NAT","-0.0183727536","0","false","0.038665235","-0.4751750529","1.2908706665","false","Seasonality","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"10","TOTALUS_EXT_HOLIDAY_JUNETEENTH_NAT","-0.0016192064","0","false","0.0377320498","-0.0429132879","1.2293124199","false","Seasonality","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
