"","","","","","","","","","","Coefficient","","","","","","","Shrinkage",""
"#","Variable Name","Vars In Coeff","Vars In STD","Vars In VIF","Fixed","Type","Model Transform","Issues","Group","Prior","Prior Coeff","STD","Lower","Upper","IQR","By","","Centered"
"-1","Intercept","1.6211565733","3.0196750164","0","false","","NONE","","","_None_","1.6211565733","0.8105782866","","","","","",""
"1","KROGER_KPI_COMPETITIVE_PEPSICO_QUAKER_NATURE_VALLEY_GRAIN_TOTAL_DISTRIBUTION_POINT_QTY","-0.0397680178","0.4582593739","25.5361042023","false","","STA","","","Normal","-0.0529491082","0.1058982164","","","0.142854523","","",""
"2","KROGER_KPI_GMI_NATURE VALLEY_REGULAR_PRICE_TOTAL_BRAND","-0.1509272605","1.7678729296","18.7931346893","false","","STA","","","TruncatedNormal","-0.951512754","1.9030255079","-1.5","-0.5","0.4956988822","","",""
"3","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT","-0.1669242084","0.4127981067","2.7332837582","false","","SUB","","","Normal","-0.2190262377","0.4380524755","","","0.5909238095","","",""
"4","TOTALUS_EXT_HOLIDAY_NEW_YEARS_DAY_NAT","-0.0751772895","0.3577032983","2.0523679256","false","","SUB","","","Normal","-0.0830638707","0.1661277413","","","0.2241029175","","",""
"5","TOTALUS_EXT_HOLIDAY_THANKSGIVING_DAY_NAT","-0.0445526801","0.3813533187","2.3327300549","false","","SUB","","","Normal","-0.1964961737","0.3929923475","","","0.5301386206","","",""
"6","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT|Lag(-1)","-0.0805104002","0.3400213122","1.8544778824","false","","SUB","","","Normal","-0.0307339281","0.0614678562","","","0.0829188779","","",""
"7","TOTALUS_EXT_HOLIDAY_EASTER_NAT","-0.0242526643","0.2902376056","1.3511909246","false","","SUB","","","Normal","-0.1193853989","0.2387707978","","","0.3220969116","","",""
"8","TOTALUS_EXT_HOLIDAY_SUPER_BOWL_NAT","-0.0321363769","0.2715553641","1.1828404665","false","","SUB","","","Normal","-0.1129770279","0.2259540558","","","0.3048073893","","",""
"9","TOTALUS_EXT_HOLIDAY_INDEPENDENCE_DAY_NAT","-0.0344778486","0.2945587039","1.3917238712","false","","SUB","","","Normal","-0.0732079297","0.1464158595","","","0.1975119929","","",""
"10","TOTALUS_EXT_HOLIDAY_LABOR_DAY_NAT|Lag(-1)","0.0369795039","0.3262729347","1.7075423002","false","","SUB","","","Normal","0.0549294353","0.1098588705","","","0.1481973642","","",""
"11","TOTALUS_EXT_BLS_CPI_CHANGE_FOOD_AT_HOME_NAT|EMav(5)","0.1751767695","2.2530546188","8.1912631989","false","","SUB","","","TruncatedNormal","0.2801819146","0.5603638291","0","0.8999999762","0.4107870696","","",""
"12","NATURE_VALLEY_GRAIN_TOTAL_DISTRIBUTION_POINT_QTY_BWT_No_Criteria","1.2552255392","2.0538060665","22.9283752441","false","","STA","","","TruncatedNormal","0.7702234387","1.1404469013","0.6999999881","1","0.1496728491","","",""
"13","AMAZON_MEDIA_Video_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","-0.060862951","0.8848232627","5.529747963","false","","SUB","","","TruncatedNormal","0.011502007","0.0444670171","0.0095020067","0.0155020067","0.0029982919","","",""
"14","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_LINEAR TV_TV_GRP|AdModel(2+2 65 100 14)","0.0340519771","0.6729355454","4.0288105011","false","","SUB","","","TruncatedNormal","0.2208763957","0.3395485878","0.1104400009","0.331310004","0.1089845326","","",""
"15","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SOCIAL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0213068984","0.4301796854","7.7201414108","false","","SUB","","","TruncatedNormal","0.0301472135","0.062430013","0.0150699997","0.0452199988","0.0149655288","","",""
"16","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PAIDSEARCH_PAID SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.1992003173","7.8229541779","4.6425800323","false","","SUB","","","TruncatedNormal","0.1038156673","0.5488488674","0.0519100018","0.1557199955","0.0518470021","","",""
"17","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_SUM_TOTAL_DIGITAL_CUSTOM PARTNERSHIP_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.1448328793","0.9731377363","5.2623548508","false","","SUB","","","TruncatedNormal","0.0497103892","0.2333470136","0.0248600002","0.0745700002","0.024819776","","",""
"18","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_RADIO_RADIO_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","0.1492051929","0.6288681626","3.2282209396","false","","SUB","","","TruncatedNormal","0.0503911152","0.1401401609","0.0252","0.0755899996","0.0250934109","","",""
"19","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL AUDIO_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0685753375","1.3575105667","7.6134114265","false","","SUB","","","TruncatedNormal","0.0162013266","0.070065394","0.0081000002","0.0242999997","0.0080864792","","",""
"20","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PRINT_PRINT_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","0.0147396941","0.3308573663","4.0021018982","false","","SUB","","","TruncatedNormal","0.004291655","0.0509214364","0.0021500001","0.0064400001","0.0021445243","","",""
"21","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL VIDEO_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","-0.0013967491","1.0425025225","17.7204818726","false","","SUB","","","TruncatedNormal","0.0342577174","0.046818912","0.0171300005","0.0513899997","0.0168457948","","",""
"22","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.1198801622","1.2251518965","4.4812493324","false","","SUB","","","TruncatedNormal","0.0324026495","0.1035855412","0.0162000004","0.0485999994","0.0161505468","","",""
"23","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SEARCH_SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0155413756","0.7962664366","10.6051301956","false","","SUB","","","TruncatedNormal","0.0130219683","0.0516658276","0.0065100002","0.0195300002","0.0064970933","","",""
"24","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_ONSITE DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.3854243159","3.3942928314","3.7617001534","false","","SUB","","","TruncatedNormal","0.1359262466","1.0916566849","0.0679600015","0.2038899958","0.067932075","","",""
"25","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_EMAIL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.3362011611","4.6673102379","2.0142617226","false","","SUB","","","TruncatedNormal","0.1291200966","1.9966342449","0.0645600036","0.1936800033","0.0645515631","","",""
"26","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_FACEBOOK/INSTAGRAM_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)|Lag(1)","-0.041020669","1.0673470497","4.3443627357","false","","SUB","","","TruncatedNormal","0.0271992646","0.4043632746","0.0136000002","0.0408000015","0.0135980778","","",""
"27","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_COUPON_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.1607911289","3.6585385799","1.8650606871","false","","SUB","","","TruncatedNormal","0.3774892092","7.2361421585","0.1887400001","0.5662299991","0.1887289484","","",""
"28","Kroger Launches 2024Q1","1.7771886587","20.4709339142","28.4381980896","false","","DIVMDV|SUB","","","TruncatedNormal","0.8999999762","1.7999999523","0","1","0.494745434","","",""
"29","NV TotFood Nature Valley Week Avg Baseline EQUs Category - DepVar Index_vTotCategory","0.5460795164","1.1921081543","5.8112072945","false","","STA","","","Normal","0.1259798706","0.2519597411","","","0.3398885257","","",""
"30","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_INMAR QUOTIENT_CLIPS|Decay(0.8)","0.063433893","0.5053400993","3.7980647087","false","","DIVMDV|SUB","","","TruncatedNormal","0.0266312659","0.060487397","0.0133199999","0.0399499983","0.013234595","","",""
"31","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_NETPTUNE_REDEMPTIONS","2.8082597256","40.2849655151","5.741092205","false","","DIVMDV|SUB","","","TruncatedNormal","0.4920545816","4.0284366608","0.2460300028","0.7380800247","0.2459103347","","",""
"32","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_IBOTTA_REDEMPTIONS","0.0677727908","2.4166033268","1.7040500641","false","","DIVMDV|SUB","","","TruncatedNormal","0.1487236917","0.5952280164","0.0743599981","0.223089993","0.0742200454","","",""
"33","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_FETCH TOTAL_SALE VALUE","0.2047011256","0.7223637104","6.3833937645","false","","DIVMDV|SUB","","","TruncatedNormal","0.0114627639","0.1101468056","0.0057299999","0.01719","0.0057280621","","",""
"34","US CPI Food SA 1984=100|CMav(5)","-2.2317659855","4.7351307869","59.4592514038","false","","STA","","","TruncatedNormal","1","2","0","1.2000000477","0.5927757178","","",""
"35","AUG MONTH DUMMY","0.0811721161","0.2133381218","2.7483837605","false","","SUB","","","Normal","0.0655873939","0.1311747879","","","0.1769520998","","",""
"36","Dummy_Aug22","0.0492804833","0.4584515393","4.465675354","false","","SUB","","","Normal","-0.1561961621","0.3123923242","","","0.4214108414","","",""
"37","NATURE_VALLEY_GRAIN_Depth of Discount x support Any Store_BWT","1.5766358376","2.0680315495","4.0217943192","false","","SUB","","","TruncatedNormal","0.5","1","0.5","1","0.2478191276","","",""
"38","Dummy_Jun","-0.0426585376","0.1681494117","1.7073838711","false","","SUB","","","Normal","-0.0233060271","2","","","2.6979590008","","",""
"39","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_FEATURE_AND_DISPLAY_BWT","6.4212164879","11.6854791641","4.3729491234","false","","SUB","","","TruncatedNormal","6.7569036484","3.3784518242","2.5","11","3.5025669064","","",""
"40","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_FEATURE_BWT","1.3873102665","2.555113554","4.011077404","false","","SUB","","","TruncatedNormal","1.4435083866","0.7217541933","1","6","0.7403403858","","",""
"41","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_DISPLAY_BWT","2.9486987591","10.4182834625","4.1103835106","false","","SUB","","","TruncatedNormal","2.1798877716","1.0899438858","2","10","0.9622529804","","",""
"42","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.1110746935","1.8206070662","2.7614283562","false","","SUB","","","TruncatedNormal","0.0324026495","0.1035855412","0.0162000004","0.0485999994","0.0161505468","","",""
"43","KROGER_MEDIA_GMI_MULTIBRAND NATURE VALLEY GRAIN_MULTIBRAND NATURE VALLEY GRAIN_TOTAL_DIGITAL_ONSITE DISPLAY_TOTAL IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.5801327825","3.1323969364","3.3362958431","false","","SUB","","","TruncatedNormal","0.1359262466","1.0916566849","0.0248600002","0.2038899958","0.0894397351","","",""
"44","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID NATIVE AD_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-1.6109787226","10.3869819641","4.5201072693","false","","SUB","","","TruncatedNormal","0.0497103892","0.2333470136","0.0248600002","0.0745700002","0.024819776","","",""
