"","","","","","","","","Statistics","","","","","","","","","","",""
"#","Variable Name","Distribution","Vars In Coeff","GT Coeff","Prior Coeff","Mean Coeff","STD","HDI_3%","HDI_97%","MCSE_Mean","MCSE_STD","MCSE_Mean %","ESS_Bulk","ESS_Tail","R_hat","Data Influence","Cohens D","Model Transform","Contribution Group"
"-1","Intercept","_None_","1.6211565733","0.8708548992","1.6211565733","0.8708549","0.00456897","0.8622492","0.87921196","0.00005262","0.00003721","0.0000604234","7512.85991729","1885.18751751","1.00101146","227.3943098773","0.5890150354","NONE","Worst Case Scenario"
"1","KROGER_KPI_COMPETITIVE_PEPSICO_QUAKER_NATURE_VALLEY_GRAIN_TOTAL_DISTRIBUTION_POINT_QTY","Normal","-0.0397680178","-0.0767954678","-0.0529491082","-0.07679547","0.01557952","-0.10542622","-0.04776764","0.00025428","0.00018081","0.0033111328","3752.77324224","2113.72002371","0.99990022","6.7652430884","0.3143116789","STA","Competitor"
"2","KROGER_KPI_GMI_NATURE VALLEY_REGULAR_PRICE_TOTAL_BRAND","TruncatedNormal","-0.1509272605","-1.1336890082","-0.951512754","-1.13368901","0.08066244","-1.28407295","-0.98584875","0.00154136","0.00110876","0.0013595968","2828.30690903","1992.20607747","1.00042181","3.62407584","0.7154933452","STA","Price"
"3","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT","Normal","-0.1669242084","-0.1963701816","-0.2190262377","-0.19637018","0.04602878","-0.28563612","-0.10873905","0.00093139","0.00065956","0.0047430318","2439.08990912","2175.21184991","0.99979317","9.9175448491","0.0560667395","SUB","Seasonality"
"4","TOTALUS_EXT_HOLIDAY_NEW_YEARS_DAY_NAT","Normal","-0.0751772895","-0.0358181023","-0.0830638707","-0.0358181","0.03890607","-0.10930955","0.03425682","0.00070803","0.00056074","0.0197673802","3030.09761108","2590.41417995","1.00108752","3.9943913636","0.47624927","SUB","Seasonality"
"5","TOTALUS_EXT_HOLIDAY_THANKSGIVING_DAY_NAT","Normal","-0.0445526801","-0.0992777373","-0.1964961737","-0.09927774","0.04278815","-0.17964466","-0.01837358","0.00077656","0.00058821","0.0078220959","3047.36173171","2348.16504885","0.9995601","9.3371052499","0.299914074","SUB","Seasonality"
"6","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT|Lag(-1)","Normal","-0.0805104002","-0.0635271461","-0.0307339281","-0.06352715","0.03269657","-0.12030035","0.00339401","0.00054546","0.00041839","0.0085862501","3583.65378591","2452.50374534","1.00045846","1.8137850545","0.7064947441","SUB","Seasonality"
"7","TOTALUS_EXT_HOLIDAY_EASTER_NAT","Normal","-0.0242526643","-0.0841940001","-0.1193853989","-0.084194","0.03447331","-0.14980405","-0.01995771","0.00045787","0.00035444","0.0054382735","5671.74154273","2183.68599361","1.00015157","6.5086044827","0.2878496688","SUB","Seasonality"
"8","TOTALUS_EXT_HOLIDAY_SUPER_BOWL_NAT","Normal","-0.0321363769","-0.0778350362","-0.1129770279","-0.07783504","0.03533398","-0.14224175","-0.01296449","0.00048208","0.0003718","0.0061936115","5352.55793042","2260.53744655","1.00160205","6.5346298379","0.2177716695","SUB","Seasonality"
"9","TOTALUS_EXT_HOLIDAY_INDEPENDENCE_DAY_NAT","Normal","-0.0344778486","-0.0427283506","-0.0732079297","-0.04272835","0.03583034","-0.10817792","0.02634408","0.00055165","0.00047122","0.0129106319","4214.58050201","2084.24796785","1.00069125","4.1448384246","0.3252247947","SUB","Seasonality"
"10","TOTALUS_EXT_HOLIDAY_LABOR_DAY_NAT|Lag(-1)","Normal","0.0369795039","0.0958460294","0.0549294353","0.09584603","0.03417421","0.03305723","0.16081587","0.00047536","0.00035959","0.0049596212","5197.83100515","2294.55154925","1.00021015","3.0807067669","0.5931881676","SUB","Seasonality"
"11","TOTALUS_EXT_BLS_CPI_CHANGE_FOOD_AT_HOME_NAT|EMav(5)","TruncatedNormal","0.1751767695","0.0637751917","0.2801819146","0.06377519","0.05591657","0.00010752","0.16810022","0.00078476","0.000654","0.0123050986","3990.27338254","1834.98959271","0.99969099","4.4583603751","1.9608264648","SUB","Inflation Food"
"12","NATURE_VALLEY_GRAIN_TOTAL_DISTRIBUTION_POINT_QTY_BWT_No_Criteria","TruncatedNormal","1.2552255392","0.7618122983","0.7702234387","0.7618123","0.0520914","0.70001029","0.85755819","0.00089327","0.00064421","0.0011725592","2809.22995306","1654.8431121","1.00183487","1.7387048534","1.1155262658","STA","Distribution"
"13","AMAZON_MEDIA_Video_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","TruncatedNormal","-0.060862951","0.0123708279","0.011502007","0.01237083","0.00176387","0.00950444","0.01511583","0.00002422","0.0000173","0.0019578314","4971.73541744","1903.62073581","1.00432704","0.985248346","0.0710545478","SUB","Media"
"14","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_LINEAR TV_TV_GRP|AdModel(2+2 65 100 14)","TruncatedNormal","0.0340519771","0.1301503018","0.2208763957","0.1301503","0.01780477","0.11044241","0.16250418","0.00026163","0.0001896","0.0020102143","3414.49608426","1573.90329668","0.99978954","3.5350745896","1.8972943902","SUB","Media"
"15","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SOCIAL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.0213068984","0.0231655276","0.0301472135","0.02316553","0.00684787","0.01507682","0.03653003","0.00010962","0.00008863","0.0047320307","5357.02889505","1853.65466841","0.99950664","1.2512927377","0.9503076378","SUB","Media"
"16","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PAIDSEARCH_PAID SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.1992003173","0.1007923833","0.1038156673","0.10079238","0.03001826","0.05227873","0.14801954","0.00041716","0.00031047","0.0041388049","4651.59972047","1795.96702288","1.00001937","0.9978296544","0.1307906651","SUB","Media"
"17","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_SUM_TOTAL_DIGITAL_CUSTOM PARTNERSHIP_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.1448328793","0.0537893662","0.0497103892","0.05378937","0.01373923","0.03042132","0.07454192","0.00018497","0.0001308","0.0034387835","5477.7332958","2042.54380572","1.00211489","1.0280707143","0.268311406","SUB","Media"
"18","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_RADIO_RADIO_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","TruncatedNormal","0.1492051929","0.0491796122","0.0503911152","0.04917961","0.01447749","0.02531508","0.07213816","0.00019419","0.00014426","0.0039485876","5122.95574043","1934.40384446","1.00095177","1.0205298018","0.0679736008","SUB","Media"
"19","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL AUDIO_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.0685753375","0.0157973909","0.0162013266","0.01579739","0.00465111","0.00821185","0.02326864","0.00006188","0.00004621","0.0039171028","5668.63192182","1998.09023745","0.99961445","1.0532281541","0.070403026","SUB","Media"
"20","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PRINT_PRINT_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","TruncatedNormal","0.0147396941","0.0042197118","0.004291655","0.00421971","0.00121855","0.00218787","0.0061554","0.00001534","0.00001127","0.0036353209","5593.10112148","1959.50210956","1.00166449","0.9955192647","0.0860816043","SUB","Media"
"21","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL VIDEO_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","TruncatedNormal","-0.0013967491","0.027005155","0.0342577174","0.02700515","0.00813911","0.01713803","0.04287233","0.00012583","0.00010154","0.0046594816","5221.10036105","1719.33339769","1.00153853","1.2089823089","0.8686520197","SUB","Media"
"22","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.1198801622","0.0291088078","0.0324026495","0.02910881","0.00899897","0.01623038","0.04500398","0.00012368","0.00010013","0.0042488855","6073.27784175","1937.63241376","0.99994079","1.0104078578","0.373739713","SUB","Media"
"23","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SEARCH_SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.0155413756","0.0126218365","0.0130219683","0.01262184","0.00369166","0.00660669","0.01860916","0.00004876","0.00003624","0.0038631452","5789.86316595","2041.66011663","1.00216236","1.0236451894","0.0865091183","SUB","Media"
"24","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_ONSITE DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.3854243159","0.1302168154","0.1359262466","0.13021682","0.03894179","0.06796418","0.19365343","0.00055438","0.00040861","0.0042573609","4167.31359843","1956.44131312","1.00050313","0.9955536199","0.1323147289","SUB","Media"
"25","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_EMAIL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.3362011611","0.1238091686","0.1291200966","0.12380917","0.03745107","0.06500339","0.18451618","0.00044932","0.00035112","0.0036291334","6505.38355776","1893.49661544","1.00094423","0.9906923888","0.1498318511","SUB","Media"
"26","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_FACEBOOK/INSTAGRAM_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)|Lag(1)","TruncatedNormal","-0.041020669","0.0248230424","0.0271992646","0.02482304","0.00769765","0.01364223","0.03774488","0.00010354","0.00008027","0.0041711249","6149.25670329","2152.93664488","1.00007648","1.0397627847","0.3026521983","SUB","Media"
"27","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_COUPON_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.1607911289","0.4049868256","0.3774892092","0.40498683","0.10542755","0.22239928","0.56422438","0.00142889","0.00101043","0.0035282382","5029.98375799","2050.89991493","1.00123041","1.0436695152","0.1097227582","SUB","Media"
"28","Kroger Launches 2024Q1","TruncatedNormal","1.7771886587","0.6553160937","0.8999999762","0.65531609","0.26037457","0.15904129","0.99950648","0.00375652","0.00265642","0.0057323787","4965.97193625","2235.96576045","1.0006909","1.1119543664","0.5285434091","DIVMDV|SUB","Launch"
"29","NV TotFood Nature Valley Week Avg Baseline EQUs Category - DepVar Index_vTotCategory","Normal","0.5460795164","0.5235103923","0.1259798706","0.52351039","0.11058191","0.31731951","0.73453359","0.00235814","0.00166768","0.004504476","2197.17679791","2507.41806877","1.00246727","2.2312117778","1.9564769654","STA","Seasonality"
"30","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_INMAR QUOTIENT_CLIPS|Decay(0.8)","TruncatedNormal","0.063433893","0.0283082296","0.0266312659","0.02830823","0.0075312","0.01561668","0.03994864","0.00009957","0.00007041","0.0035173517","4811.56704162","1946.74318556","0.99997895","0.9926426068","0.2722579378","DIVMDV|SUB","Media"
"31","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_NETPTUNE_REDEMPTIONS","TruncatedNormal","2.8082597256","0.4791645003","0.4920545816","0.4791645","0.14169296","0.2460375","0.70436852","0.00183505","0.00133976","0.0038296869","4984.80072524","1918.45243826","1.00092726","0.9946077067","0.048857187","DIVMDV|SUB","Media"
"32","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_IBOTTA_REDEMPTIONS","TruncatedNormal","0.0677727908","0.136576299","0.1487236917","0.1365763","0.04309364","0.07437128","0.20992942","0.00057009","0.00045174","0.0041741503","4913.94966534","1780.83790191","1.00066562","1.0099091188","0.3270856625","DIVMDV|SUB","Media"
"33","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_FETCH TOTAL_SALE VALUE","TruncatedNormal","0.2047011256","0.0124036754","0.0114627639","0.01240368","0.00314778","0.00704444","0.01718718","0.0000461","0.0000326","0.0037166389","4418.13984634","1956.2289671","1.00028925","1.0372484735","0.2705537857","DIVMDV|SUB","Media"
"34","US CPI Food SA 1984=100|CMav(5)","TruncatedNormal","-2.2317659855","0.0542619987","1","0.054262","0.05268908","0.00000184","0.15595518","0.00087327","0.00066523","0.016093583","3310.5151061","2263.22509052","0.99983025","6.491032677","2.2094230142","STA","Inflation Food"
"35","AUG MONTH DUMMY","Normal","0.0811721161","0.0949813812","0.0655873939","0.09498138","0.02064245","0.05625123","0.13255371","0.0003098","0.00022572","0.0032616919","4425.41448442","2446.77314953","1.00115137","6.1947288234","0.2821183103","SUB","Seasonality"
"36","Dummy_Aug22","Normal","0.0492804833","-0.0431002901","-0.1561961621","-0.04310029","0.03584197","-0.10925496","0.02531908","0.00060413","0.00047445","0.014016843","3548.59900136","2386.07680405","1.00035049","8.6880668111","0.5006121649","SUB","Promotion"
"37","NATURE_VALLEY_GRAIN_Depth of Discount x support Any Store_BWT","TruncatedNormal","1.5766358376","0.9245225172","0.5","0.92452252","0.06679729","0.79703685","0.99997923","0.00101496","0.00071774","0.0010978207","4050.83827344","1644.09540482","1.00047764","2.1381638387","1.660006866","SUB","Promotion"
"38","Dummy_Jun","Normal","-0.0426585376","-0.0674149161","-0.0233060271","-0.06741492","0.01834918","-0.10174037","-0.03257299","0.00026148","0.00019281","0.0038786666","4938.42868828","2303.01642154","0.99976504","112.3318796807","0.0255189283","SUB","Seasonality"
"39","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_FEATURE_AND_DISPLAY_BWT","TruncatedNormal","6.4212164879","7.0283571827","6.7569036484","7.02835718","1.10058655","4.93969084","8.99627804","0.02028476","0.01506118","0.0028861311","2968.11345906","2046.43035846","1.00039274","2.033897116","0.1821825734","SUB","Promotion"
"40","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_FEATURE_BWT","TruncatedNormal","1.3873102665","1.3550189639","1.4435083866","1.35501896","0.21497779","1.00037198","1.71949395","0.00421488","0.00298071","0.003110569","2098.36465254","1552.77066997","1.00112346","2.2769407947","1.0774318131","SUB","Promotion"
"41","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_DISPLAY_BWT","TruncatedNormal","2.9486987591","3.5024301208","2.1798877716","3.50243012","0.67274266","2.22903474","4.71677156","0.01275551","0.00902045","0.0036419028","2527.77870697","1324.57536991","1.00076966","1.0295540051","0.8476850255","SUB","Promotion"
"42","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.1110746935","0.0329423932","0.0324026495","0.03294239","0.00921028","0.0179713","0.04806679","0.00012028","0.00008801","0.0036512226","5201.21772284","2025.13581396","1.00022705","0.9951630135","0.0360338318","SUB","Media"
"43","KROGER_MEDIA_GMI_MULTIBRAND NATURE VALLEY GRAIN_MULTIBRAND NATURE VALLEY GRAIN_TOTAL_DIGITAL_ONSITE DISPLAY_TOTAL IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.5801327825","0.0732603375","0.1359262466","0.07326034","0.04136833","0.0249022","0.1535514","0.00069927","0.00058098","0.0095450007","3867.09417415","1844.29143596","1.00048243","1.2211723316","0.8732776571","SUB","Media"
